,,weights,values,capacity,distribution
9,38,34,19,3919,uniform
9,39,11,5,3919,uniform
9,40,19,6,3919,uniform
9,41,57,19,3919,uniform
9,42,98,21,3919,uniform
9,43,68,57,3919,uniform
9,44,57,22,3919,uniform
9,45,6,59,3919,uniform
9,46,7,95,3919,uniform
9,47,20,17,3919,uniform
9,48,2,85,3919,uniform
9,49,10,6,3919,uniform
9,50,15,82,3919,uniform
9,51,3,42,3919,uniform
9,52,82,64,3919,uniform
9,53,61,46,3919,uniform
9,54,93,79,3919,uniform
9,55,71,25,3919,uniform
9,56,11,50,3919,uniform
9,57,7,10,3919,uniform
9,58,20,61,3919,uniform
9,59,65,60,3919,uniform
9,60,34,14,3919,uniform
9,61,18,21,3919,uniform
9,62,3,86,3919,uniform
9,63,88,48,3919,uniform
9,64,2,29,3919,uniform
9,65,26,14,3919,uniform
9,66,24,58,3919,uniform
9,67,93,34,3919,uniform
9,68,73,46,3919,uniform
9,69,76,54,3919,uniform
9,70,36,11,3919,uniform
9,71,20,20,3919,uniform
9,72,44,27,3919,uniform
9,73,7,34,3919,uniform
9,74,51,41,3919,uniform
9,75,98,11,3919,uniform
9,76,10,65,3919,uniform
9,77,30,36,3919,uniform
9,78,41,97,3919,uniform
9,79,99,45,3919,uniform
9,80,62,68,3919,uniform
9,81,11,27,3919,uniform
9,82,94,72,3919,uniform
9,83,39,92,3919,uniform
9,84,71,70,3919,uniform
9,85,6,37,3919,uniform
9,86,42,67,3919,uniform
9,87,66,24,3919,uniform
9,88,75,31,3919,uniform
9,89,61,24,3919,uniform
9,90,40,75,3919,uniform
9,91,56,99,3919,uniform
9,92,1,85,3919,uniform
9,93,96,49,3919,uniform
9,94,57,30,3919,uniform
9,95,20,68,3919,uniform
9,96,94,35,3919,uniform
9,97,37,41,3919,uniform
9,98,88,99,3919,uniform
9,99,24,2,3919,uniform
10,0,38,4,4871,exponential
10,1,45,35,4871,exponential
10,2,14,3,4871,exponential
10,3,19,53,4871,exponential
10,4,67,42,4871,exponential
10,5,47,30,4871,exponential
10,6,18,45,4871,exponential
10,7,121,24,4871,exponential
10,8,6,27,4871,exponential
10,9,1,66,4871,exponential
10,10,4,43,4871,exponential
10,11,38,21,4871,exponential
10,12,17,3,4871,exponential
10,13,6,0,4871,exponential
10,14,25,80,4871,exponential
10,15,13,6,4871,exponential
10,16,3,68,4871,exponential
10,17,117,0,4871,exponential
10,18,65,6,4871,exponential
10,19,4,23,4871,exponential
10,20,34,57,4871,exponential
10,21,44,2,4871,exponential
10,22,27,14,4871,exponential
10,23,4,70,4871,exponential
10,24,6,3,4871,exponential
10,25,50,45,4871,exponential
10,26,92,35,4871,exponential
10,27,2,93,4871,exponential
10,28,40,24,4871,exponential
10,29,0,7,4871,exponential
10,30,28,75,4871,exponential
10,31,7,45,4871,exponential
10,32,16,29,4871,exponential
10,33,15,41,4871,exponential
10,34,105,24,4871,exponential
10,35,40,7,4871,exponential
10,36,4,49,4871,exponential
10,37,42,18,4871,exponential
10,38,74,47,4871,exponential
10,39,2,32,4871,exponential
10,40,7,19,4871,exponential
10,41,13,6,4871,exponential
10,42,2,4,4871,exponential
10,43,74,31,4871,exponential
10,44,84,64,4871,exponential
10,45,22,33,4871,exponential
10,46,124,7,4871,exponential
10,47,122,8,4871,exponential
10,48,41,56,4871,exponential
10,49,4,34,4871,exponential
10,50,16,26,4871,exponential
10,51,19,2,4871,exponential
10,52,24,0,4871,exponential
10,53,20,7,4871,exponential
10,54,4,13,4871,exponential
10,55,30,18,4871,exponential
10,56,6,4,4871,exponential
10,57,35,8,4871,exponential
10,58,41,12,4871,exponential
10,59,70,15,4871,exponential
10,60,22,16,4871,exponential
10,61,6,38,4871,exponential
10,62,55,68,4871,exponential
10,63,17,9,4871,exponential
10,64,6,0,4871,exponential
10,65,52,36,4871,exponential
10,66,22,1,4871,exponential
10,67,16,86,4871,exponential
10,68,31,16,4871,exponential
10,69,41,0,4871,exponential
10,70,104,10,4871,exponential
10,71,11,9,4871,exponential
10,72,57,23,4871,exponential
10,73,12,28,4871,exponential
10,74,1,6,4871,exponential
10,75,2,47,4871,exponential
10,76,69,20,4871,exponential
10,77,7,7,4871,exponential
10,78,15,42,4871,exponential
10,79,71,29,4871,exponential
10,80,30,24,4871,exponential
10,81,22,6,4871,exponential
10,82,10,0,4871,exponential
10,83,16,44,4871,exponential
10,84,49,18,4871,exponential
10,85,64,33,4871,exponential
10,86,44,19,4871,exponential
10,87,2,32,4871,exponential
10,88,22,63,4871,exponential
10,89,2,28,4871,exponential
10,90,38,38,4871,exponential
10,91,33,16,4871,exponential
10,92,7,21,4871,exponential
10,93,9,127,4871,exponential
10,94,11,16,4871,exponential
10,95,7,35,4871,exponential
10,96,10,36,4871,exponential
10,97,7,9,4871,exponential
10,98,90,21,4871,exponential
10,99,8,39,4871,exponential
11,0,71,33,4061,normal
11,1,31,23,4061,normal
11,2,37,45,4061,normal
11,3,57,51,4061,normal
11,4,45,54,4061,normal
11,5,50,23,4061,normal
11,6,60,12,4061,normal
11,7,45,67,4061,normal
11,8,45,61,4061,normal
11,9,53,56,4061,normal
11,10,39,49,4061,normal
11,11,64,52,4061,normal
11,12,76,31,4061,normal
11,13,51,22,4061,normal
11,14,53,65,4061,normal
11,15,47,33,4061,normal
11,16,63,71,4061,normal
11,17,62,64,4061,normal
11,18,54,64,4061,normal
11,19,65,40,4061,normal
11,20,48,31,4061,normal
11,21,88,35,4061,normal
11,22,57,71,4061,normal
11,23,53,77,4061,normal
11,24,51,66,4061,normal
11,25,53,41,4061,normal
11,26,56,57,4061,normal
11,27,56,43,4061,normal
11,28,38,33,4061,normal
11,29,50,46,4061,normal
11,30,17,55,4061,normal
11,31,68,65,4061,normal
11,32,41,51,4061,normal
11,33,35,75,4061,normal
11,34,69,59,4061,normal
11,35,44,17,4061,normal
11,36,23,53,4061,normal
11,37,61,37,4061,normal
11,38,12,59,4061,normal
11,39,42,23,4061,normal
11,40,51,36,4061,normal
11,41,55,49,4061,normal
11,42,17,59,4061,normal
11,43,64,31,4061,normal
11,44,56,49,4061,normal
11,45,67,66,4061,normal
11,46,56,48,4061,normal
11,47,26,12,4061,normal
11,48,27,56,4061,normal
11,49,28,76,4061,normal
11,50,16,51,4061,normal
11,51,32,47,4061,normal
11,52,51,22,4061,normal
11,53,52,43,4061,normal
11,54,49,50,4061,normal
11,55,50,30,4061,normal
11,56,39,31,4061,normal
11,57,64,58,4061,normal
11,58,48,17,4061,normal
11,59,61,68,4061,normal
11,60,33,37,4061,normal
11,61,70,51,4061,normal
11,62,79,60,4061,normal
11,63,63,52,4061,normal
11,64,39,30,4061,normal
11,65,75,43,4061,normal
11,66,24,44,4061,normal
11,67,42,37,4061,normal
11,68,59,51,4061,normal
11,69,61,11,4061,normal
11,70,37,50,4061,normal
11,71,36,36,4061,normal
11,72,54,52,4061,normal
11,73,58,11,4061,normal
11,74,57,28,4061,normal
11,75,54,2,4061,normal
11,76,61,37,4061,normal
11,77,69,35,4061,normal
11,78,34,41,4061,normal
11,79,35,54,4061,normal
11,80,70,50,4061,normal
11,81,68,44,4061,normal
11,82,80,72,4061,normal
11,83,51,57,4061,normal
11,84,61,105,4061,normal
11,85,53,40,4061,normal
11,86,26,17,4061,normal
11,87,49,48,4061,normal
11,88,45,71,4061,normal
11,89,34,15,4061,normal
11,90,49,76,4061,normal
11,91,74,49,4061,normal
11,92,56,79,4061,normal
11,93,62,63,4061,normal
11,94,49,73,4061,normal
11,95,54,37,4061,normal
11,96,56,49,4061,normal
11,97,32,77,4061,normal
11,98,41,45,4061,normal
11,99,57,19,4061,normal
12,0,6,9,3778,exponential
12,1,58,25,3778,exponential
12,2,27,5,3778,exponential
12,3,76,78,3778,exponential
12,4,2,29,3778,exponential
12,5,109,14,3778,exponential
12,6,57,14,3778,exponential
12,7,1,7,3778,exponential
12,8,70,6,3778,exponential
12,9,22,0,3778,exponential
12,10,19,4,3778,exponential
12,11,85,67,3778,exponential
12,12,5,4,3778,exponential
12,13,7,11,3778,exponential
12,14,7,34,3778,exponential
12,15,5,26,3778,exponential
12,16,57,63,3778,exponential
12,17,9,77,3778,exponential
12,18,2,27,3778,exponential
12,19,18,13,3778,exponential
12,20,19,1,3778,exponential
12,21,14,18,3778,exponential
12,22,15,95,3778,exponential
12,23,10,16,3778,exponential
12,24,14,48,3778,exponential
12,25,43,13,3778,exponential
12,26,37,11,3778,exponential
12,27,47,14,3778,exponential
12,28,106,4,3778,exponential
12,29,26,14,3778,exponential
12,30,26,39,3778,exponential
12,31,5,43,3778,exponential
12,32,20,3,3778,exponential
12,33,3,23,3778,exponential
12,34,3,35,3778,exponential
12,35,7,10,3778,exponential
12,36,2,51,3778,exponential
12,37,12,11,3778,exponential
12,38,1,31,3778,exponential
12,39,0,12,3778,exponential
12,40,2,21,3778,exponential
12,41,32,13,3778,exponential
12,42,41,82,3778,exponential
12,43,2,2,3778,exponential
12,44,27,6,3778,exponential
12,45,71,6,3778,exponential
12,46,48,33,3778,exponential
12,47,54,22,3778,exponential
12,48,148,29,3778,exponential
12,49,43,27,3778,exponential
12,50,98,2,3778,exponential
12,51,4,17,3778,exponential
12,52,66,33,3778,exponential
12,53,30,77,3778,exponential
12,54,25,30,3778,exponential
12,55,2,3,3778,exponential
12,56,1,50,3778,exponential
12,57,4,24,3778,exponential
12,58,20,47,3778,exponential
12,59,82,5,3778,exponential
12,60,50,1,3778,exponential
12,61,109,42,3778,exponential
12,62,63,30,3778,exponential
12,63,91,58,3778,exponential
12,64,12,15,3778,exponential
12,65,11,8,3778,exponential
12,66,16,28,3778,exponential
12,67,67,48,3778,exponential
12,68,13,199,3778,exponential
12,69,18,93,3778,exponential
12,70,82,27,3778,exponential
12,71,13,69,3778,exponential
12,72,56,6,3778,exponential
12,73,18,1,3778,exponential
12,74,15,1,3778,exponential
12,75,1,20,3778,exponential
12,76,103,16,3778,exponential
12,77,46,61,3778,exponential
12,78,37,86,3778,exponential
12,79,72,44,3778,exponential
12,80,66,47,3778,exponential
12,81,44,17,3778,exponential
12,82,61,48,3778,exponential
12,83,108,40,3778,exponential
12,84,34,15,3778,exponential
12,85,56,1,3778,exponential
12,86,92,17,3778,exponential
12,87,3,11,3778,exponential
12,88,27,4,3778,exponential
12,89,24,36,3778,exponential
12,90,73,18,3778,exponential
12,91,44,23,3778,exponential
12,92,17,114,3778,exponential
12,93,36,64,3778,exponential
12,94,56,22,3778,exponential
12,95,72,0,3778,exponential
12,96,32,64,3778,exponential
12,97,9,37,3778,exponential
12,98,30,7,3778,exponential
12,99,18,43,3778,exponential
13,0,9,23,3121,exponential
13,1,55,5,3121,exponential
13,2,20,23,3121,exponential
13,3,20,94,3121,exponential
13,4,20,53,3121,exponential
13,5,62,31,3121,exponential
13,6,2,2,3121,exponential
13,7,24,12,3121,exponential
13,8,42,26,3121,exponential
13,9,9,14,3121,exponential
13,10,29,35,3121,exponential
13,11,49,11,3121,exponential
13,12,12,11,3121,exponential
13,13,30,66,3121,exponential
13,14,79,41,3121,exponential
13,15,41,33,3121,exponential
13,16,5,31,3121,exponential
13,17,81,69,3121,exponential
13,18,44,10,3121,exponential
13,19,45,99,3121,exponential
13,20,8,3,3121,exponential
13,21,92,1,3121,exponential
13,22,43,75,3121,exponential
13,23,35,8,3121,exponential
13,24,32,13,3121,exponential
13,25,9,24,3121,exponential
13,26,2,2,3121,exponential
13,27,54,71,3121,exponential
13,28,46,14,3121,exponential
13,29,88,29,3121,exponential
13,30,1,3,3121,exponential
13,31,53,68,3121,exponential
13,32,142,32,3121,exponential
13,33,4,9,3121,exponential
13,34,6,68,3121,exponential
13,35,42,27,3121,exponential
13,36,5,27,3121,exponential
13,37,88,7,3121,exponential
13,38,7,20,3121,exponential
13,39,23,2,3121,exponential
13,40,47,100,3121,exponential
13,41,27,30,3121,exponential
13,42,37,10,3121,exponential
13,43,65,59,3121,exponential
13,44,7,78,3121,exponential
13,45,3,24,3121,exponential
13,46,32,32,3121,exponential
13,47,23,2,3121,exponential
13,48,15,9,3121,exponential
13,49,11,8,3121,exponential
13,50,31,5,3121,exponential
13,51,2,20,3121,exponential
13,52,51,17,3121,exponential
13,53,71,1,3121,exponential
13,54,23,16,3121,exponential
13,55,56,52,3121,exponential
13,56,2,4,3121,exponential
13,57,35,15,3121,exponential
13,58,35,15,3121,exponential
13,59,12,11,3121,exponential
13,60,17,5,3121,exponential
13,61,51,20,3121,exponential
13,62,11,119,3121,exponential
13,63,36,62,3121,exponential
13,64,66,6,3121,exponential
13,65,51,40,3121,exponential
13,66,51,3,3121,exponential
13,67,24,34,3121,exponential
13,68,19,57,3121,exponential
13,69,17,70,3121,exponential
13,70,6,1,3121,exponential
13,71,68,15,3121,exponential
13,72,40,16,3121,exponential
13,73,21,14,3121,exponential
13,74,23,72,3121,exponential
13,75,13,40,3121,exponential
13,76,24,33,3121,exponential
13,77,9,16,3121,exponential
13,78,65,5,3121,exponential
13,79,175,14,3121,exponential
13,80,9,32,3121,exponential
13,81,18,9,3121,exponential
13,82,63,15,3121,exponential
13,83,24,2,3121,exponential
13,84,13,17,3121,exponential
13,85,58,36,3121,exponential
13,86,58,55,3121,exponential
13,87,57,5,3121,exponential
13,88,26,126,3121,exponential
13,89,18,17,3121,exponential
13,90,38,9,3121,exponential
13,91,32,8,3121,exponential
13,92,13,19,3121,exponential
13,93,104,21,3121,exponential
13,94,23,23,3121,exponential
13,95,140,2,3121,exponential
13,96,74,7,3121,exponential
13,97,178,74,3121,exponential
13,98,41,3,3121,exponential
13,99,41,19,3121,exponential
14,0,65,18,2661,uniform
14,1,81,58,2661,uniform
14,2,12,55,2661,uniform
14,3,23,17,2661,uniform
14,4,21,11,2661,uniform
14,5,56,30,2661,uniform
14,6,79,92,2661,uniform
14,7,97,44,2661,uniform
14,8,97,30,2661,uniform
14,9,8,12,2661,uniform
14,10,79,26,2661,uniform
14,11,16,78,2661,uniform
14,12,50,62,2661,uniform
14,13,98,86,2661,uniform
14,14,87,62,2661,uniform
14,15,6,91,2661,uniform
14,16,18,30,2661,uniform
14,17,38,79,2661,uniform
14,18,56,63,2661,uniform
14,19,87,87,2661,uniform
14,20,39,39,2661,uniform
14,21,11,24,2661,uniform
14,22,54,47,2661,uniform
14,23,94,79,2661,uniform
14,24,22,41,2661,uniform
14,25,89,91,2661,uniform
14,26,52,71,2661,uniform
14,27,45,50,2661,uniform
14,28,53,35,2661,uniform
14,29,64,34,2661,uniform
14,30,68,27,2661,uniform
14,31,32,79,2661,uniform
14,32,33,30,2661,uniform
14,33,10,6,2661,uniform
14,34,50,92,2661,uniform
14,35,43,36,2661,uniform
14,36,39,24,2661,uniform
14,37,87,75,2661,uniform
14,38,75,41,2661,uniform
14,39,16,27,2661,uniform
14,40,50,81,2661,uniform
14,41,53,1,2661,uniform
14,42,40,24,2661,uniform
14,43,19,50,2661,uniform
14,44,69,31,2661,uniform
14,45,28,46,2661,uniform
14,46,43,12,2661,uniform
14,47,65,93,2661,uniform
14,48,69,39,2661,uniform
14,49,21,82,2661,uniform
14,50,68,70,2661,uniform
14,51,27,5,2661,uniform
14,52,33,62,2661,uniform
14,53,93,19,2661,uniform
14,54,36,49,2661,uniform
14,55,50,99,2661,uniform
14,56,53,66,2661,uniform
14,57,84,1,2661,uniform
14,58,58,69,2661,uniform
14,59,62,62,2661,uniform
14,60,88,72,2661,uniform
14,61,21,62,2661,uniform
14,62,82,16,2661,uniform
14,63,36,30,2661,uniform
14,64,99,94,2661,uniform
14,65,86,85,2661,uniform
14,66,17,4,2661,uniform
14,67,78,21,2661,uniform
14,68,43,39,2661,uniform
14,69,84,81,2661,uniform
14,70,77,79,2661,uniform
14,71,79,59,2661,uniform
14,72,11,64,2661,uniform
14,73,97,12,2661,uniform
14,74,63,54,2661,uniform
14,75,20,43,2661,uniform
14,76,96,59,2661,uniform
14,77,86,99,2661,uniform
14,78,26,12,2661,uniform
14,79,80,73,2661,uniform
14,80,1,38,2661,uniform
14,81,25,71,2661,uniform
14,82,59,61,2661,uniform
14,83,40,43,2661,uniform
14,84,91,94,2661,uniform
14,85,76,17,2661,uniform
14,86,60,92,2661,uniform
14,87,90,84,2661,uniform
14,88,85,58,2661,uniform
14,89,45,75,2661,uniform
14,90,19,45,2661,uniform
14,91,16,34,2661,uniform
14,92,42,95,2661,uniform
14,93,30,35,2661,uniform
14,94,79,85,2661,uniform
14,95,85,68,2661,uniform
14,96,73,4,2661,uniform
14,97,52,4,2661,uniform
14,98,91,10,2661,uniform
14,99,62,9,2661,uniform
15,0,7,47,2904,uniform
15,1,3,24,2904,uniform
15,2,88,3,2904,uniform
15,3,56,35,2904,uniform
15,4,44,56,2904,uniform
15,5,23,62,2904,uniform
15,6,55,66,2904,uniform
15,7,36,27,2904,uniform
15,8,12,25,2904,uniform
15,9,32,25,2904,uniform
15,10,34,42,2904,uniform
15,11,67,93,2904,uniform
15,12,61,2,2904,uniform
15,13,65,70,2904,uniform
15,14,5,65,2904,uniform
15,15,69,77,2904,uniform
15,16,70,30,2904,uniform
15,17,70,47,2904,uniform
15,18,66,19,2904,uniform
15,19,25,19,2904,uniform
15,20,40,87,2904,uniform
15,21,29,46,2904,uniform
15,22,28,27,2904,uniform
15,23,44,94,2904,uniform
15,24,55,56,2904,uniform
15,25,47,43,2904,uniform
15,26,41,76,2904,uniform
15,27,84,22,2904,uniform
15,28,92,39,2904,uniform
15,29,82,55,2904,uniform
15,30,98,44,2904,uniform
15,31,20,20,2904,uniform
15,32,8,78,2904,uniform
15,33,70,23,2904,uniform
15,34,72,33,2904,uniform
15,35,92,11,2904,uniform
15,36,23,31,2904,uniform
15,37,1,93,2904,uniform
15,38,6,18,2904,uniform
15,39,62,28,2904,uniform
15,40,77,47,2904,uniform
15,41,73,12,2904,uniform
15,42,90,87,2904,uniform
15,43,50,59,2904,uniform
15,44,81,8,2904,uniform
15,45,92,25,2904,uniform
15,46,95,47,2904,uniform
15,47,74,43,2904,uniform
15,48,80,80,2904,uniform
15,49,68,42,2904,uniform
15,50,70,4,2904,uniform
15,51,99,35,2904,uniform
15,52,81,74,2904,uniform
15,53,27,39,2904,uniform
15,54,67,76,2904,uniform
15,55,43,7,2904,uniform
15,56,89,5,2904,uniform
15,57,31,50,2904,uniform
15,58,32,42,2904,uniform
15,59,20,10,2904,uniform
15,60,94,1,2904,uniform
15,61,3,88,2904,uniform
15,62,48,97,2904,uniform
15,63,81,95,2904,uniform
15,64,4,26,2904,uniform
15,65,14,65,2904,uniform
15,66,71,69,2904,uniform
15,67,48,43,2904,uniform
15,68,26,19,2904,uniform
15,69,44,31,2904,uniform
15,70,48,54,2904,uniform
15,71,89,79,2904,uniform
15,72,63,82,2904,uniform
15,73,13,71,2904,uniform
15,74,89,4,2904,uniform
15,75,73,43,2904,uniform
15,76,84,7,2904,uniform
15,77,95,32,2904,uniform
15,78,76,48,2904,uniform
15,79,85,4,2904,uniform
15,80,62,53,2904,uniform
15,81,6,97,2904,uniform
15,82,72,99,2904,uniform
15,83,11,4,2904,uniform
15,84,67,93,2904,uniform
15,85,20,98,2904,uniform
15,86,34,59,2904,uniform
15,87,66,55,2904,uniform
15,88,82,27,2904,uniform
15,89,58,85,2904,uniform
15,90,76,8,2904,uniform
15,91,34,9,2904,uniform
15,92,65,42,2904,uniform
15,93,93,32,2904,uniform
15,94,54,6,2904,uniform
15,95,43,45,2904,uniform
15,96,23,60,2904,uniform
15,97,71,40,2904,uniform
15,98,27,80,2904,uniform
15,99,50,70,2904,uniform
16,0,6,46,4449,exponential
16,1,24,0,4449,exponential
16,2,13,4,4449,exponential
16,3,13,7,4449,exponential
16,4,2,31,4449,exponential
16,5,10,54,4449,exponential
16,6,115,11,4449,exponential
16,7,62,86,4449,exponential
16,8,53,57,4449,exponential
16,9,40,7,4449,exponential
16,10,12,14,4449,exponential
16,11,34,15,4449,exponential
16,12,21,91,4449,exponential
16,13,70,0,4449,exponential
16,14,15,12,4449,exponential
16,15,48,12,4449,exponential
16,16,101,78,4449,exponential
16,17,20,15,4449,exponential
16,18,88,19,4449,exponential
16,19,4,22,4449,exponential
16,20,14,18,4449,exponential
16,21,73,12,4449,exponential
16,22,47,1,4449,exponential
16,23,14,11,4449,exponential
16,24,38,32,4449,exponential
16,25,1,32,4449,exponential
16,26,74,64,4449,exponential
16,27,16,2,4449,exponential
16,28,24,51,4449,exponential
16,29,35,0,4449,exponential
16,30,9,7,4449,exponential
16,31,17,15,4449,exponential
16,32,19,9,4449,exponential
16,33,18,15,4449,exponential
16,34,46,13,4449,exponential
16,35,11,6,4449,exponential
16,36,6,26,4449,exponential
16,37,13,15,4449,exponential
16,38,71,42,4449,exponential
16,39,41,57,4449,exponential
16,40,75,19,4449,exponential
16,41,52,158,4449,exponential
16,42,144,55,4449,exponential
16,43,6,16,4449,exponential
16,44,0,46,4449,exponential
16,45,54,6,4449,exponential
16,46,9,58,4449,exponential
16,47,108,41,4449,exponential
16,48,65,10,4449,exponential
16,49,36,17,4449,exponential
16,50,2,50,4449,exponential
16,51,1,4,4449,exponential
16,52,6,41,4449,exponential
16,53,29,42,4449,exponential
16,54,9,5,4449,exponential
16,55,29,6,4449,exponential
16,56,25,8,4449,exponential
16,57,19,26,4449,exponential
16,58,16,125,4449,exponential
16,59,0,42,4449,exponential
16,60,4,4,4449,exponential
16,61,10,66,4449,exponential
16,62,59,27,4449,exponential
16,63,52,9,4449,exponential
16,64,4,21,4449,exponential
16,65,64,40,4449,exponential
16,66,17,11,4449,exponential
16,67,27,19,4449,exponential
16,68,33,21,4449,exponential
16,69,83,100,4449,exponential
16,70,7,124,4449,exponential
16,71,3,54,4449,exponential
16,72,50,26,4449,exponential
16,73,12,3,4449,exponential
16,74,0,8,4449,exponential
16,75,23,19,4449,exponential
16,76,19,53,4449,exponential
16,77,16,4,4449,exponential
16,78,17,54,4449,exponential
16,79,48,1,4449,exponential
16,80,4,11,4449,exponential
16,81,21,18,4449,exponential
16,82,13,7,4449,exponential
16,83,2,8,4449,exponential
16,84,0,145,4449,exponential
16,85,4,19,4449,exponential
16,86,120,2,4449,exponential
16,87,16,72,4449,exponential
16,88,13,20,4449,exponential
16,89,26,2,4449,exponential
16,90,0,30,4449,exponential
16,91,20,16,4449,exponential
16,92,11,32,4449,exponential
16,93,4,176,4449,exponential
16,94,51,40,4449,exponential
16,95,45,6,4449,exponential
16,96,59,2,4449,exponential
16,97,68,39,4449,exponential
16,98,15,2,4449,exponential
16,99,46,117,4449,exponential
17,0,72,31,2838,normal
17,1,33,62,2838,normal
17,2,24,59,2838,normal
17,3,70,79,2838,normal
17,4,69,26,2838,normal
17,5,78,94,2838,normal
17,6,55,66,2838,normal
17,7,77,42,2838,normal
17,8,32,74,2838,normal
17,9,43,52,2838,normal
17,10,68,59,2838,normal
17,11,59,54,2838,normal
17,12,40,60,2838,normal
17,13,47,36,2838,normal
17,14,75,29,2838,normal
17,15,47,69,2838,normal
17,16,65,23,2838,normal
17,17,35,38,2838,normal
17,18,56,72,2838,normal
17,19,64,47,2838,normal
17,20,56,17,2838,normal
17,21,46,52,2838,normal
17,22,65,25,2838,normal
17,23,35,29,2838,normal
17,24,65,32,2838,normal
17,25,54,54,2838,normal
17,26,45,49,2838,normal
17,27,55,41,2838,normal
17,28,53,52,2838,normal
17,29,37,77,2838,normal
17,30,81,54,2838,normal
17,31,57,84,2838,normal
17,32,62,29,2838,normal
17,33,52,50,2838,normal
17,34,33,47,2838,normal
17,35,79,34,2838,normal
17,36,60,44,2838,normal
17,37,47,44,2838,normal
17,38,35,87,2838,normal
17,39,32,41,2838,normal
17,40,73,30,2838,normal
17,41,56,32,2838,normal
17,42,71,34,2838,normal
17,43,34,73,2838,normal
17,44,70,60,2838,normal
17,45,33,78,2838,normal
17,46,39,57,2838,normal
17,47,59,47,2838,normal
17,48,43,45,2838,normal
17,49,67,19,2838,normal
17,50,67,53,2838,normal
17,51,30,55,2838,normal
17,52,51,78,2838,normal
17,53,69,65,2838,normal
17,54,25,46,2838,normal
17,55,47,53,2838,normal
17,56,47,31,2838,normal
17,57,54,11,2838,normal
17,58,53,60,2838,normal
17,59,75,93,2838,normal
17,60,52,12,2838,normal
17,61,37,59,2838,normal
17,62,62,41,2838,normal
17,63,35,28,2838,normal
17,64,62,55,2838,normal
17,65,41,63,2838,normal
17,66,44,59,2838,normal
17,67,55,60,2838,normal
17,68,43,61,2838,normal
17,69,96,41,2838,normal
17,70,46,44,2838,normal
17,71,39,49,2838,normal
17,72,54,53,2838,normal
17,73,71,22,2838,normal
17,74,34,28,2838,normal
17,75,53,45,2838,normal
17,76,66,41,2838,normal
17,77,49,52,2838,normal
17,78,79,21,2838,normal
17,79,76,33,2838,normal
17,80,56,69,2838,normal
17,81,60,59,2838,normal
17,82,23,57,2838,normal
17,83,76,58,2838,normal
17,84,54,46,2838,normal
17,85,51,66,2838,normal
17,86,40,49,2838,normal
17,87,45,43,2838,normal
17,88,63,45,2838,normal
17,89,65,66,2838,normal
17,90,39,30,2838,normal
17,91,29,55,2838,normal
17,92,62,78,2838,normal
17,93,62,60,2838,normal
17,94,46,40,2838,normal
17,95,34,54,2838,normal
17,96,47,69,2838,normal
17,97,49,29,2838,normal
17,98,56,40,2838,normal
17,99,18,47,2838,normal
18,0,40,64,4113,uniform
18,1,54,17,4113,uniform
18,2,66,71,4113,uniform
18,3,90,82,4113,uniform
18,4,14,61,4113,uniform
18,5,95,66,4113,uniform
18,6,16,92,4113,uniform
18,7,81,92,4113,uniform
18,8,65,93,4113,uniform
18,9,60,12,4113,uniform
18,10,85,20,4113,uniform
18,11,92,31,4113,uniform
18,12,27,87,4113,uniform
18,13,28,2,4113,uniform
18,14,89,39,4113,uniform
18,15,17,65,4113,uniform
18,16,73,67,4113,uniform
18,17,40,70,4113,uniform
18,18,16,46,4113,uniform
18,19,63,88,4113,uniform
18,20,54,39,4113,uniform
18,21,97,6,4113,uniform
18,22,96,97,4113,uniform
18,23,8,11,4113,uniform
18,24,37,1,4113,uniform
18,25,31,99,4113,uniform
18,26,30,89,4113,uniform
18,27,70,28,4113,uniform
18,28,55,43,4113,uniform
18,29,22,10,4113,uniform
18,30,94,73,4113,uniform
18,31,85,72,4113,uniform
18,32,19,8,4113,uniform
18,33,53,7,4113,uniform
18,34,36,2,4113,uniform
18,35,71,94,4113,uniform
18,36,61,63,4113,uniform
18,37,85,46,4113,uniform
18,38,30,96,4113,uniform
18,39,59,19,4113,uniform
18,40,52,42,4113,uniform
18,41,32,28,4113,uniform
18,42,32,1,4113,uniform
18,43,1,12,4113,uniform
18,44,39,7,4113,uniform
18,45,50,85,4113,uniform
18,46,58,76,4113,uniform
18,47,96,19,4113,uniform
18,48,93,94,4113,uniform
18,49,41,44,4113,uniform
18,50,11,44,4113,uniform
18,51,66,94,4113,uniform
18,52,38,14,4113,uniform
18,53,10,85,4113,uniform
18,54,60,82,4113,uniform
18,55,41,55,4113,uniform
18,56,58,36,4113,uniform
18,57,82,56,4113,uniform
18,58,98,26,4113,uniform
18,59,37,56,4113,uniform
18,60,44,47,4113,uniform
18,61,34,17,4113,uniform
18,62,27,73,4113,uniform
18,63,51,4,4113,uniform
18,64,66,98,4113,uniform
18,65,2,46,4113,uniform
18,66,34,97,4113,uniform
18,67,19,86,4113,uniform
18,68,15,59,4113,uniform
18,69,84,29,4113,uniform
18,70,97,19,4113,uniform
18,71,78,81,4113,uniform
18,72,90,95,4113,uniform
18,73,96,14,4113,uniform
18,74,91,12,4113,uniform
18,75,47,46,4113,uniform
18,76,33,95,4113,uniform
18,77,73,20,4113,uniform
18,78,16,23,4113,uniform
18,79,44,72,4113,uniform
18,80,23,58,4113,uniform
18,81,3,52,4113,uniform
18,82,65,74,4113,uniform
